event_id,duplicate_status,canonical_event_id,match_reason,source_organization,url
"EVT-BSEE-0102","UNIQUE","EVT-BSEE-0102","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-415-inadequate-preparations-in-advance-of-inclement-weather-results"
"EVT-BSEE-0103","UNIQUE","EVT-BSEE-0103","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-414-ship-allisions-result-in-severe-damage-to-fixed-facilities"
"EVT-BSEE-0104","UNIQUE","EVT-BSEE-0104","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-413-hazards-identified-in-level-i-surveys-not-communicated-to"
"EVT-BSEE-0105","UNIQUE","EVT-BSEE-0105","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-412-failure-to-follow-procedures-results-in-pollution-incidents"
"EVT-BSEE-0106","UNIQUE","EVT-BSEE-0106","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-411-electrical-fire-damages-equipment-in-motor-control-center"
"EVT-BSEE-0107","UNIQUE","EVT-BSEE-0107","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/safety-alert-410-damaged-electric-cord-results-in-arc"
"EVT-BSEE-0108","UNIQUE","EVT-BSEE-0108","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-409-fall-from-platform-results-in-a-fatality"
"EVT-BSEE-0109","UNIQUE","EVT-BSEE-0109","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-408-fire-damages-a-platforms-living-quarters-and-nearby-areas"
"EVT-BSEE-0110","UNIQUE","EVT-BSEE-0110","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-407-risk-based-inspections-of-subsea-leak-detection-technology"
"EVT-BSEE-0111","UNIQUE","EVT-BSEE-0111","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-406-labeling-removing-storing-and-installing-hatch-covers"
"EVT-BSEE-0112","UNIQUE","EVT-BSEE-0112","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-405-blind-shear-rams-damaged-after-inadvertently-closing-on-tool"
"EVT-BSEE-0113","UNIQUE","EVT-BSEE-0113","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-404-bsee-establishes-goal-to-reduce-lifting-incidents-by-50"
"EVT-BSEE-0114","UNIQUE","EVT-BSEE-0114","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-403-findings-from-pandemic-management-risk-based-inspections"
"EVT-BSEE-0115","UNIQUE","EVT-BSEE-0115","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-safety-alert-402-deficiencies-in-process-piping-cause-gas-release-incidents"
